id,entext
500287, "So, I finally get to see you... Yes, you really do look like a messenger of sorrowful times. In any case, welcome to The Rod. Our meeting is quite significant in a way. Facing the changes with open eyes and taking their first blow is my duty."
500288, "Sometimes I have to. Are you an astrologist?"
500289, "The movement of the planets has an obvious effect on our life. However, I do not think it's humanly possible to gain any profit from that."
500290, "Who do I have the pleasure of speaking to, sir?"
500291, "I am a ruler. Astrology can be very curious, but I cannot allow it to influence my decisions. I have to act according to factual circumstances. Would you agree?"
500292, "Definitely."
500293, "Sometimes it's wiser to trust the stars."
500294, ""
500295, "...The only proper way for a duel to end is with the death of one of the fighters. That's what battles are supposed to be... Any conflict that has two sides inevitably turns into a battle of good and evil..."
500296, "Why are you telling me this?"
500297, "A brutal philosophy."
500298, "I never liked black-and-white mentality."
500299, "I'm not speaking... metaphorically or metaphysically. I'm talking about a very particular battle... You are one of the combatants, Bachelor Dankovsky. Do you favour good or evil?"
500300, "I favour winning."
500301, "That's too vague a question."
500302, "Spoken like a true warrior. I truly wish you victory, Bachelor... Even though I doubt there can be a victory at all in this battle."
500303, "You are very kind."
500304, "Thank you."
500305, "I cannot be more coherent... Details distort the core essence... they devalue the words."
500306, "What you're saying is it will be I who is to adjust the details along the way, right?"
500307, "But without details you sound delirious."
500324, ""
500325, "...I seem to have lost any capacity for observation. My mind is out of tune; things no longer add up. Before, I had no trouble forming a trustworthy tessellation out of the most imperceptible contingencies. Now, I simply cannot get my head around it. Could it be that I am dying?"
500326, "The steppe air is way too thick. I think that's what causes it."
500327, "It happens when people are tired. You probably haven't slept for a while, have you?"
500328, "Yes, it definitely means you are about to die."
500329, "Oh no... Herba Tvirinae is in blossom, I grant you, but then it blooms every year. Every year the Steppe is filled with its stupefying vapours. The issue I am having, however, has nothing to do with fatigue or perplexity. It is just that I've lost my ability to make distinctive events coincide."
500330, "What herb is that?"
500331, "No matter what preternatural traits the the locals ascribe to it, twyre is all heady aroma, a bunch of superstitions and remarkably little else. It has psychoactive properties, after a fashion, but then so does simple wormwood. Visions caused by ingestion of beladonna or jimsonweed are much more fascinating than what twyre has to offer."
500333, "It's a pity I'm not a botanist."
500334, "Everyone has that ability."
500335, "You don't seem to understand what I'm saying. Let me elucidate: a single word someone utters may precipitate the birth of their own murderer. This line of philosophising is barely an intellectual novelty, and it is particularly relevant in our neck of the woods. I sometimes feel like I could touch the notions of cause and effect with the tips of my fingers... But now I am being tedious, I reckon."
500336, "Not at all."
500337, "I'm sorry to say, but yes, you are a bit tedious."
500338, "Is this so? If I die, the universe would not notice my passing. But what if there are people who are the walking embodiment of the law by which events are connected to each other? What would happen to the universe if any one of these people were to die?"
500339, "Do you think you are such a person?"
500341, "When I was a child I took enormous pleasure in thinking I was one. Later in my life, as a student, I rather saw it as an honour of which I was not necessarily deserving. Today, however, I treat it as a somewhat scornful affliction. "
500343, "That's unprovable."
500344, "I prefer not to think of things like that."
500355, ""
500356, "Wanna see something fun?"
500357, "Sure."
500358, "What's your name?"
500359, "Not in the slightest. I'm in a hurry."
500360, "Look around. Some houses are always open for you. Others open for everyone only under special circumstances... if a person dies, or when there's a wedding or something. Others still are only open to those who can find a creephole in."
500361, "Call me Sticky. Everyone does."
500362, "You're a lively kid."
500363, "Where are your parents? Do you live here on your own? Or..."
500364, "And?"
500365, "I'm a bit too big for creepholes."
500366, "Well, I collect places like that. I made a map a year ago; now there are so many marks on it that there's no room for houses. I hid in a house for about two hours once-the owners were there, but they didn't notice me."
500367, "Interesting."
500368, "You should study, not indulge in tomfoolery."
500369, ""
500370, "It's hard... Not only do they need to be fed-but talked to as well. I need to find the words of comfort for them. Only then will they repay us with tenderness and joy. But now they are all anxious, every single one of them is mumbling something. That's why I look so tired."
500371, "Who are you talking about?"
500372, "Where is the caretaker of the cemetery?"
500373, "Of the dead themselves. Do not assume that people die forever-not everyone does. Some people live underground and only die out for the lack of care. You have to always knock from this side so that they don't fade away."
500374, "Are you insane?"
500375, "Let me examine your pupils... Okay, now your pulse... Do you take drugs?"
500376, "No. It's twyre the herb. We sleep in the very heart of the Steppe, you know. I'm all green because of it... It's high time for it at the moment. Can you hear how the air is tolling? That's twyre."
500377, "I am the caretaker. Since my father died."
500378, "Were you talking about the souls of the dead?"
500379, "I'll come back to you again soon."
500381, "Unbelievable... The rulers should take some measures immediately."
500382, ""
500383, "Welcome! Welcome, dear guest! Give the man somethin' to drink, let him grab a bite, sit him down comfortably! Show our big-city guest some respect! And don't let him out until I say otherwise."
500384, "Enough."
500385, "Where am I?"
500386, "Can’t say I care for your mugs."
500387, "Wanna play cards? Dice? The stakes ain't big-city, but the game's pretty gritty."
500388, "Ain't it obvious? The brotherhood of thieves, that's where you are! You've got two options now, you do: dine in hell-with us; or run like hell-from us."
500389, "We ain't a quick buck to be loved by every schmuck. Care not for our mugs, but rather for your soul, kind sir. Too much self-assurance can be fatal. Ain't you afraid?"
500390, "No."
500391, "I have a fondness for my money, thanks."
500392, "Go to hell. Without me."
500393, "Since we've just met, doc, you go in peace-for the first and the last time. But next time your exit will cost extra."
500394, "Let me go in peace. I'm a doctor."
500395, "I'm not afraid of death."
500396, "No one wants to die."
500397, "Next time it will be you begging me to come."
500398, "I'll keep that in mind."
500400, ""
500401, "Ah, Bachelor Dankovsky, of course... Who else could be so dapper... I've heard quite a lot about you... Have you taken a look around? Be sure to check the state of the industry around here... We have our own ways."
500402, "How curious! And what is the current state of your industry?"
500403, "Do you think I've come to inspect this town?"
500404, "I can't say I'm interested."
500405, "Come now... It's a complicated establishment with a thousand years of history. A special approach is required to control such a colossus. See where I'm getting at, emissary?"
500406, "Come now... That's precisely what I'm saying... The sanitary inspection testified last year that the Bull Project is in order. Nothing to cavil at. Everything's fine."
500407, "It would be pointless to object."
500408, "But no! Such businesses always leave room for improvement."
500409, "I can see we're not really seeing eye to eye. The Project is special... Very special! That means... common standards do not apply here. That would be very naïve."
500410, "You are probably right."
500411, "We'll come back to that."
500412, "You have probably mistaken me for someone else. I have nothing to do with your enterprise."
500413, "Good for you."
500414, "Nothing to talk about then."
500415, ""
500416, "You've found me here? Oh well, I'm not surprised. I suppose you're not too surprised by the fact that everyone knows about you either. The rumour of your arrival spread like fire. Why have you come?"
500417, "What's the solution to the puzzle?"
500418, "Such things happen all the time."
500419, "...When the worried adults came to the place where the children had been playing, they found nothing unusual there, only sticks and stones. What do you make of it?"
500420, "Your children play peculiar games."
500422, "Ah, nothing special. They probably dug out a dead cat."
500423, ""
500424, "The Theatre welcomes the distinguished audience at any time. There's a performance of the Masks every evening, and the blood gets rinsed off every night. The rest of the time slots are filled with a puppet-show. But that's not all we have! Magic tricks, fortune-telling, dream-reading! Whoever has eyes, let them see."
500425, "Is this a theatre? It's rather small..."
500426, "True. This is a chamber theatre. And since I have the pleasure of being the booking agent, director, and the impresario around here, I can also tell you that our shows are not for everyone's eyes."
500427, "When is the next performance?"
500429, "But it's empty at the moment."
500430, "That is a deceiving impression. The theatre is small, but it holds quite a few secrets. Like the mime who is currently picking the threads from your clothes; or the Mask who is sewing your fate for the next few days from those threads."
500431, "What is in store for me?"
500432, "I think I should go."
500433, "Your fate isn't bound yet. It will take time, effort, and of course your direct participation. Come to see us every evening. We'll show how you're doing bit by bit."
500434, "I will definitely come by."
500435, "You are too talkative, sir."
500436, "That's for you to decide. You are a part of the lineup. The playscript is not yet complete, you see. Everything depends on your actions. You won't have to wait long."
500437, "When will the playscript be approved?"
500438, "Sounds quite intriguing, but unfortunately, I have other matters to attend to."
500439, "That's good. I don't like waiting."
500440, ""
500441, "You are the person that came to Maria Kaina in a dream. I recognized you straight away. My name is Lara Ravel, and this is The Shelter. You are always welcome here."
500443, "Who are you talking about?"
500446, "I can imagine them very well. That is what I have the sharp mind of an analyst for."
500447, "The things you'll see here are not subject to comprehension. They'll burst into your everyday routine like the horrors of your childhood that have come to life; they'll thrash your logical thinking and disrupt every single part of you... the sharp mind of an analyst won't be able to wrap around them. You can't even imagine."
500449, "There is nothing in this world that could make me lose my mind."
500450, "Everyone who sits at this table. See? They are all trying to be mysterious, but in reality every action we take is a mere consequence of a deep wound. Our words are like the drops of blood seeping from it. Sorrow is what opens people up fully."
500451, "You are a poet."
500452, "Ugh... I don't really like pathos..."
500453, "I'm just in a melancholic mood. We are way too used to playing the game of tragic predictions. I'm trying to arrange everything back to order."
500454, "You are quite successful in doing that."
500455, "I'd be happy to help you if I can."
500456, ""
500457, "She came close, her heads murmuring. Says she'll eat your heart before you even notice."
500458, "What's this all about?"
500459, "Who are you?"
500460, "Who are you talking about?"
500461, "You can hide from her in the nursery, but not for long. Neaty draws her wrong. She's a Distaff."
500462, "My name is Murky. I feel that the chase has already begun. I need to hide. It's bad I can't hide in my bed."
500463, "Who is 'she'?"
500464, "Stop bothering me with this silliness."
500465, "I don't know."
500466, "Who's chasing you?"
500467, "Tell that to your mummy, she'll hush you down."
500468, "Not me, us! She's very close already."
500470, "Go play with someone else."
500471, "Don't worry, I'll lock her up in the wardrobe."
500472, ""
500473, "...Look at all this! If only my dear mother was alive, she'd take the reins of power in her hands. Even father would listen to her. But who is to take care of us now? Not Katerina, that's for sure... the Mistress is too exhausted."
500474, "Your mother? What was she?"
500475, "You don't know? My mother was Mistress Victoria. I was named after her. If only I had gotten her power along with her name, no one would be trying to crawl underground out of fear now! People cling to Simon so much because they've forgotten what true protection is like."
500476, "Katerina is supposed to take care of you?"
500477, "Katerina is scared like a child herself. And I also think she's being tricked. Yes, her prophecies come true just like it's always been, but they are becoming more and more noisy. Every word she utters comes across as a metaphor..."
500479, "We'll manage."
500480, "Why don't you believe in Katerina's power?"
500481, "Too bad I didn't know your mother."
500483, "Yes! She had waves of warmth and power emanating from her. She held the whole town in her grasp like a giant bird protecting her fledgelings. Not a single demon could invade our little community. I remember those happy times..."
500484, "People like her leave this world earlier than those who only live for themselves."
500485, "There'll be more happy times."
501021, ""
501022, ""
501023, ""
501024, ""
501151, "My dear Bachelor Dankovsky!/n/nIt was most disconcerting to learn that the Powers That Be have the intention of shutting down the laboratory that owes its fame largely to your own research in the field of thanatology./n/nIs it true that your detractors have branded your studies 'scientifically stillborn'? Rejoice, Bachelor, for there is an observable case that would quell the obscurants that reject the research of death, aging, and necrosis as a subject that lacks academic viability. This case, were you to document it, would go a long way towards restoring your reputation as a scholar./n/nThe subject in question is Simon Kain, who has ruled the town where I live for as long as I can remember. This man's longevity transcends the boundaries of what is plausible. It is phenomenal, no less, and I struggle to give an explanation of it with what scientific means I have at my disposal. Make no delay. There is a sensational discovery to be made here, a breakthrough that will not only save your laboratory, but also revivify your studies and greatly increase your scientific renown./n/nYour humble servant and faithful colleague,/nIsidor Burakh/n/nP.S. I spoke to Simon on your behalf and he has kindly agreed to facilitate your effort. Daring ideas and far-fetched projects are traditionally very well respected in our neck of the woods."
501152, "Isidor Burakh's Message"
501153, "Venerable Doctor,/n/nThere must have been a mistake of the most regrettable kind. I was duly informed that you arrived in town last night. Unfortunately, my servants must have missed you at the station and were unable to guide you towards Bridge Square. I urge you to see me in the Crucible, my mansion, at your earliest convenience./n/nRespectfully eager to meet you,/nSimon Kain"
501154, "A Reminder From the Kains"
501155, "You must make haste!/n/nThe sun will set in four hours. Unless you are able to recognize the shabnak's guise, she will kill you before nightfall. Tarry not, I beg you! I am the only one who can tell you what the monster looks like./n/nMeet me in the Rod, outside the Tanners district./n/nKaterina"
501156, "Katerina's Warning"
501157, "Daniil, I am writing this in a hurry, so do forgive the uncustomary brevity!/n/nThe Powers That Be are closing in on us. They persecuted us before, as you know, but now they are set to utterly exterminate us. We may yet be able to persevere, but you, my friend, are in grave danger!/n/nIt is almost as if your destination was chosen to be the place of your burial. They say there is some kind of disease in the town, of a most lethal variety; perhaps Plague itself./n/nI have little doubt that the Powers That Be have set up your whole journey. Telman, that vermin, wants to get rid of you more than he wants to cease the outbreak. I wouldn't be surprised if it transpires that there are no medical personnel whatsoever in the town! They will use it as pretext to delegate the whole mess of it to you. If this is the case, I urge you to keep out of trouble. Stay safe, Daniil; wait for the sanitary teams. They will arrive sooner or later./n/nTake care, my friend! If they tell you to engage the Plague by yourself, refuse it, even if your principles enjoin you to do otherwise. Our research is what matters the most and we will not be able to go on with it if you are dead.../n/nYours, A"
501158, "A Letter From a Colleague in 'Thanatica'"
501159, "Bachelor,/n/nThe body has been isolated, as far as I know. Rubin conducts the examination of it./n/nNevertheless, keeping in mind your discovery, I would advise you to see me in the Rod first thing tomorrow morning. There is a matter of crucial importance that we need to discuss./n/nAlexander Saburov"
501160, "The Body is Isolated"
501174, "Bachelor,/n/nAs I have already informed you, I have a request to make. It is a matter of utmost importance./n/nI will elaborate on the situation in detail as soon as you come to see me in the Rod. In the event you consider our requests to be outside your area of responsibility, I will have to contact someone else with this. However, there is little doubt in my mind that the incompetence of the volunteers I would recruit will result in them losing their lives./n/nAlexander"
501175, "Saburov's Morning Note "
501255, ""
501257, "--- node deleted ---"
501412, "Bachelor Dankovsky,/n/nBy what seems to be a very lucky coincidence, you have found yourself in a town that is wrought by some very worrying occurences. Reportedly, there is an outbreak of dangerous disease in the vicinity. There is also an opinion that the outbreak is a falsification staged deliberately for the purpose of concealing a murder./n/nIn consideration of your outstanding analytical capability, we delegate the investigation to you. If there is an epidemic, it must be halted by any means necessary./n/nYou should collect as much information as you can, we suppose, and then make a decision in line with your own professional ethics and moral beliefs. In order to implement your strategy, an Inquisitor endowed with unrestricted authority will shortly arrive to join you. In the event that you are unable to curb the outbreak before their arrival, all power over the situation will be reassigned to them./n/nP.S./nIt has come to our attention that you have recently requested permission to continue with your own research. The decision of whether or not such permission will be granted depends on the results of this assignment. Your success, therefore, has a bearing on your scientific reputation and your further academic career./n/nProfessor Telman"
501413, "The Letter from the Powers That Be"
501574, ""
501575, "The famous doctor Dankovsky... Your arrival is a great honour for us. Victor Kain at your service."
501576, "Daniil Dankovsky at yours."
501577, "My pleasure."
501578, "I foresee that the things that have become ordinary for us will probably make you feel uncomfortable and disturbed. I would like to compensate for that impression. You know, our small community has fallen out of the loop... Time leaves us behind."
501579, "Don't worry."
501580, "What do you mean?"
501581, "I mean the traditions. Games that we play with passion will most likely be of no interest to you. The people you meet here may seem eccentric, naïve, or even... somewhat deranged. Please, take it easy on us, don't judge us too strictly."
501582, "I will do my best not to disappoint you."
501583, "I hope we will be able to work in the atmosphere of mutual trust."
501961, ""
502102, ""
502103, ""
502104, ""
502105, ""
502106, ""
502107, ""
502108, ""
502109, ""
502659, ""
502660, ""
502661, "To facilitate your assignment we will be sending a special train carrying medicine, sanitary equipment, and personnel. We expect the train to arrive in four days./n/nThe Inquisitor (allegedly Mark Karminsky or Peter Kroy) will travel separately. If the sanitary train reaches the town before the Inquisitor, the personnel and equipment therein will be yours to manage./n/nThe person in charge of the sanitary expedition will be duly instructed to collaborate. We hope that by that time you will have exhaustive information as to what the nature of the disease is./n/nSent on behalf of the Manipulatory Laboratory"
502662, "The Evening Letter from the Powers That Be. Day Two"
502850, "We need to plan the battle in advance. 'The battle' being the task that lies ahead of us. I will not give up without a fight, even if everyone else has come to terms with their own mortality. We need to join our forces, Bachelor, and combine our diverse skills./n/nOur enemy is invisible, ubiquitous, dissolved into the very things that we will need to purify. The enemy seems invulnerable, but it is not imperceptible, and whatever terror it instills in us is explained simply by our lack of knowledge. If we are to destroy the enemy, we need to study it first. For this, we need to capture it. This is our first and foremost priority./n/nPlease forgive my reiteration of self-evident things like these. My only reason for spelling it all out is to better understand it myself./n/nOur goals are not quite the same. I strive to save as many lives as possible, whereas your purpose is to put an end to the outbreak. I've been told of your abiding desire to uncover the truth. I would gladly help you with that, if you will help me achieve my goal. Together, we can eradicate the disease, and save everything that might still be saved./n/nStakh Rubin/n/nP.S. You will find me at my secret prosectorium in the Warehouses district. The map is on the reverse of this letter."
502851, "Rubin's Letter "
502852, "My source is almost depleted./n/nAfter many futile attempts, I am quite confident that the bacteria can be isolated. The enemy can be captured-though you are likely to be terrified by what it would take./n/nCome see me as soon as you can. The hunting parties that track me down are liable to discover my hideout any moment. I am on my last legs.../n/nStakh Rubin"
502853, "Rubin's Note"
502854, "Alexander Saburov"
502855, "Andrey Stamatin"
502856, "Anna Angel"
502857, "Vlad Olgimsky"
502858, "Eva Yan"
502859, "Georgiy Kain"
502860, "Bad Grief"
502861, "Khan"
502862, "Yulia Lyuricheva"
502863, "Capella"
502864, "Katerina Saburova "
502865, "Changeling"
502866, "Lara Ravel"
502867, "Grace"
502868, "Maria Kaina"
502869, "Mark Immortell"
502870, "Taya Tycheek"
502871, "Murky"
502872, "Vlad the Younger"
502873, "Notkin"
502874, "Aspity"
502875, "Peter Stamatin"
502876, "Stanislav Rubin"
502877, "Sticky"
502878, "The Foreman of the Abattoir"
502879, "Victor Kain"
502880, "-- npc deleted ---"
502881, "-- npc deleted ---"
502882, "-- npc deleted ---"
502915, ""
502916, "Spare some change for a poor miserable actor! Give him food. Yours truly would gladly gobble down anything-even a piece of infected meat from the forbidden storage. I'm so desperate to live just a couple more days to witness the ending!"
502917, "And the miserable actor is you?"
502918, "Why are you begging?"
502919, "We've been thrown out of the Theatre. The Fatal Loss is now performed right on the streets. But our impresario is convinced that it's for the best-after all, The Fatal Loss is as tragic a play as it gets. Just see the sick people dancing; hear the squirming of those whose mouths have been sewn shut! They make for perfect extras!"
502920, "Seems like your troupe is about to become very wealthy very soon."
502921, "The audience is enourmous, but, alas, very few of its members are actually financially reliable. Their pockets may be stuffed with coins, but their arms are twisted by the heartless fever that won't let them give away their property."
502922, "Keep on performing then."
502923, "You've got the leading part, don't you forget that! Although your talkativeness makes you a rather lousy mime."
502924, "Hopefully I don't ruin the whole thing."
502925, "Prompt me my lines then please?"
502926, "That's my persona, 'a miserable actor'. Although, in all honesty, there are no happy Masks in The Fatal Loss-and I'll have you know that it's a classical mime play that's been on the stage of our Theatre for several generations. It only has bold Masks, just Masks, and miserable Masks... "
502927, "What is the play about?"
502928, "I've only seen two Masks so far: the miserable one... and the bold one, I presume? It has a remarkably bold beak."
502929, "You are mistaken. That's not a beak, but rather a talon. No, Bachelor; you've seen the Miserable Mask and the Just Mask-that is to say, the punishing one. The Bold Mask is you."
502930, "Oh my! You must be joking."
502931, "I'd rather hear you tell me about the play."
502932, "The Loss... or rather The Fatal Loss-'fatal' is important here, but not because it has to do with death, but rather because the loss was bound to happen; it's about inevitability... Where was I? Ah yes! This tragedy is a mime performance that's become somewhat of a ritual for us. It's the only play we stage. The author remains unknown, although legend has it that they were of divine nature..."
502933, "Blah blah blah..."
502934, "You still haven't told me about the story."
502935, "The story's all around you, Bachelor! Just look how tragic the tragedy that's unfolding in the town is! That's just additional proof to the truthfulness of our esteemed impresario's words: a play is performed onstage-but it's executed in real life..."
502936, "Fine. I'll talk to Immortell about it."
502937, "You're laughing at me, son of a cur! Let someone else spare you change from now on."
502938, "You only stage one play? Don't you get fed up with it?"
502939, "It has its merits. Firstly, the story is true. Secondly, it adds a precious hint of sacred service to the performance. Throughout all the years The Loss has been on stage, it's been accompanied by a chain of mysterious coincidences. One might suggest that the structure of this ancient drama emulates the structure of the Universe."
502940, "So what's the story?"
502941, "Yeah, sure."
502942, "In all honesty though, you're right. I am fed up with it. The same old thing over and over... Some of our troupe got so fed up with it, they took their own lives."
502943, "Sorry to hear that."
503073, "'In Pursuit of a Killer'"
503074, "All these years I have been accused of different things. Some saw me as a rambling bedlamite, some as a heartless thrill-seeker, a ruthless careerist who would stop at nothing and stoop to anything. For them, whatever research I would take on was but a piece of opportunistic buffoonery, that succeeds only in travestying the very purpose of scientific knowledge./n/nLet them gossip all they like. None of them will have the temerity to say I ever went against my own principles! Let them keep a list of my most outrageous blasphemies; all I do serves one single master, and the name of this master is Truth./n/nThey have trapped me now, they think. I was brought to a battle of a kind that only a victor may survive. I was posed against a riddle that I will not leave unsolved. I'd rather die than give in./n/nMy reason for being here is to put an end to the outbreak. To do so I must learn everything there is to know about this unfamiliar disease; to reach a conclusion on how it may be counteracted. Then I should present my findings to the Inquisitor who will mobilise their authority to prevent the disaster./n/nThis is what is expected of me. And, rest assured, this is what they're going to get."
503075, "It is no longer evident what the Powers That Be are waiting for. What is abundantly clear, however, is that they are equally as mendacious as they are unmerciful. Do they intend to preserve this chimera of a town? Of course they do. Are they determined to put an end to the outbreak? The devil himself wouldn't know the answer to that. Would they be pleased by the news of Bachelor Dankovsky's death? Beyond question, they would./n/nHaving said that, now is not the time to give up. It is fortunate that they didn't dispatch the barbarous Karminsky here, and a different Inquisitor arrived instead. It is even better that this new Inquisitor is alike me in some respects. Essentially, we are locked inside the same cage./n/nAglaya Lilich told me she was going to help. Her plan will allow me to keep my word; to carry out my orders to the letter and in so doing to destroy the very core of what the Powers That Be have planned. They will plunge into their own pitfall and reap the consequences of their deception./n/nWhat we must do, then, is to find out which part of the town the source of the infection is nested in and reduce the whole area to rubble. By these means, the expansion of the disease will come to a halt."
503076, "You may have thought, at some point, that she was your most reliable ally. Why wouldn't she be? Her troubles, you thought, were so much like your own. Just like you, she fell victim to this perpetual confrontation between those who have their honour intact and those who have none at all./n/nProud like you; astute like you and no less devoted to the relentless pursuit of Truth. These were the feeble assurances you used to comfort yourself with, until the very moment you could no longer deny her betrayal. The Truth that she has placed so helpfully for you to stumble upon has proven to be nothing but lies; deception fed by decades of hatred and an abiding desire for vengeance. The solution was an intricately composed hoax./n/nScheming wench! Knowing all too well that she would not be able to bribe you, or to trick the Commander, she has contrived to control him by your words instead of her own. She aimed his guns with your hands while she herself remained hidden. This is what Inquisitors do. You are not the first to have been played in this manner./n/nHow long are you going to let her pull your strings? The Truth will not reveal itself to a puppet; the flame of enlightenment will not burn without the oxygen of free will! What are you going to do?/n/nAre you free enough to stand tall; to break the shackles of someone else's deception; to keep your word and to make the right choice? Should life be sustained in this corpse of a town-or should it be put out of its misery?/n/nWhat will your verdict be, Bachelor?"
503078, "'Version: The Blood-Covered Fugitive'"
503081, "'The Conflict'"
503095, "'Let's run!'"
503096, "'The House of the Living'"
503174, "Now we know what the Sand Plague bacteria look like. If only we knew five days sooner, we could have captured the shabnak. The blood of the maneater-if it indeed exists-should be full of this microbial filth... as well as the antibodies with which to counter the infection./n/nEither way, I strongly doubt that the maneater is more than a frightening rumour./n/n...I am in tremendously low spirits./n/nCome see me one last time tomorrow./nStakh Rubin"
503175, "Rubin's Evening Note"
503176, "Artemy Burakh, with whom we share a relationship based on mutual trust, has told me that you have the key to the mystery of Shabnak-adyr. Does this mean that you have identified Simon's killer?/n/nIf that's the case, doctor, allow me to request your assistance with a sensitive matter... upon which many innocent lives depend./n/nRespectfully yours,/nVlad Olgimsky"
503177, "Olgimsky's Morning Note "
503178, "I must warn you, while I still can. Later today, the governor is going to play a disgusting manoeuvre in which you are assigned the role of a hanging judge. Be on your guard! Do not let them seduce you with whatever tempting defendants they will parade before you. They are innocent, of this I have no doubt./n/nI will tell you the details the moment I see you. Is this all right?/n/nMaria"
503179, "Maria Kaina's Caution "
503180, "My father will be looking for you today. Please come see me before you see him! I have something very important to tell you. Rivers of blood were already spilled, and more will be spilled today. What if one of the victims is someone you care about?/n/nVictoria"
503181, "Capella's Morning Note"
503182, ""
503205, ""
503206, "Today, the guilty can be charged-or so they say. Today, someone will be murdered in your name. Today, they will claim your discovery as their guideline, positive it would make any strike true..."
503207, "Why are you telling me this?"
503208, "Who are 'they'? "
503209, "The governors. Saburov and Olgimsky. The watchdog has revealed the instinct of a bloodhound. The manufacturer has leashed and chained a virtuoso butcher-the one that'll easily cut anyone's heart out on the run."
503210, "What carrier are they talking about? Who are they planning to kill? Most importantly, why? Would that stop the plague?"
503211, "Whoever it is, I want to be sure that person won't cause us any more trouble."
503212, "Now everyone who is infected; and everyone who is infected by an infected person; and everyone who is infected by the trace of an infected person; all of them are disease carriers. This horde is multiplying by the second. Can it be stopped?"
503213, "It can. The blood that's supposed to become the evidence for the future trial has enabled the creation of a protective vaccine."
503214, "But it had to have begun with someone. We must find the cause to fight the consequences."
503215, "Cut the heart out? From whom?"
503216, "I'll talk to them. "
503217, "So what was it that you wanted to ask of me?"
503218, "Olgimsky wants to burn several people-but none of them is guilty. Be especially cautious when dealing with the foreseer girl. She's no human; be prepared. Even if her blood is special, don't be rash to cry witch. She's not a shabnak. She's enchanted."
503219, "I'm not bloodthirsty, and I don't like making noise."
503220, "I'd rather cooperate with this curious specimen. Why burn her-on the spot, at least?"
503223, "PEANUT. An earth-nut. Occupies the lowest tier in the hierarchy of the children's game of nuts. It has little value because of its fragile shell and awkward shape. However, it is often found in food stockpiles and has some nutritional value. Can never be infected."
